object,property,quality,value
,,"notified that the analysis of high-efficiency alternative systems has been undertaken, that it is documented and is available to be verified",
,,signed by a suitably qualified person,
,,Accessible,
,,detailing how the CO2 emission factors and primary energy factors have been derived,
,,"enable a wheelchair user to reach and grip the door handle, then open the door without releasing hold on the handle and without the footrest colliding with the return wall",
,,designed to the lowest design temperature possible that will still meet the heating needs of the building,
,,can operate at this temperature,
,,not feasible to install,
,,provided as evidence that the energy efficiency requirements are met,
,,"moved to a new location, in which its intended time of use is less than two years",
,,assessed for the whole thermal element,
,,"based on the developed surface area of the rooflight (U_d values), which is often greater than the area of the roof opening",
,,calculated for the element in the appropriate plane either horizontal or vertical,
,,at least 90 of the annual energy consumption of each fuel can be assigned to an enduse,
,,submetered,
,,appropriate to the requirements of the space,
,,separately monitored,
,,renewable,
,,default,
,,clearly indicated using lighting and surface brightness contrasts or warning signs,
